n00001740	entity
n05542686	tuberosity, tubercle, eminence
n05542893	suture, sutura, fibrous joint
n05543177	synovial joint, articulatio synovialis, diarthrosis
n05543425	anterior fontanelle
n05543541	sphenoid fontanelle, sphenoid fontanel, sphenoidal fontanelle, sphenoidal fontanel
n05543917	coronal suture, sutura coronalis
n05544078	frontal suture, sutura frontalis
n05544264	intermaxillary suture, sutura intermaxillaris
n05544432	internasal suture, sutura internasalis
n05544575	lamboid suture, sutura lamboidea
n05544725	occipitomastoid suture
n05544906	parietomastoid suture
n05545047	sagittal suture, interparietal suture, sutura sagittalis
n05545212	fontanelle, fontanel, soft spot
n05545439	foramen, hiatus
n05545611	interventricular foramen, foramen of Monro, Monro's foramen
n05545879	foramen magnum
n05546040	jaw
n05546298	chop
n05546383	zygomatic process
n05546540	neck, cervix
n05546997	frill, ruff
n05547149	frill
n05547313	bull neck
n05547396	nape, scruff, nucha
n05547508	throat, pharynx
n05547904	fauces
n05548032	fistula, sinus
n05548203	bypass
n05548314	portacaval shunt
n05548521	shunt
n05548726	tubular cavity
n05548840	shoulder
n05549061	shoulder, shoulder joint, articulatio humeri
n05549350	deltoid, deltoid muscle, musculus deltoideus
n05549576	armpit, axilla, axillary cavity, axillary fossa
n05549830	torso, trunk, body
n05550330	serratus, serratus muscles
n05550494	anterior serratus muscle, serratus anterior, musculus serratus anterior, serratus magnus
n05550688	posterior serratus muscle, serratus posterior, musculus serratus posterior
n05550908	serratus posterior inferior
n05551142	serratus posterior superior
n05551318	side
n05551494	female chest, bust
n05551617	male chest
n05551711	pectoral, pectoral muscle, pectoralis, musculus pectoralis, pecs
n05551939	pectoralis major, musculus pectoralis major, greater pectoral muscle
n05552106	pectoralis minor, musculus pectoralis minor, smaller pectoral muscle
n05552287	intercostal, intercostal muscle, musculus intercostalis
n05552467	depressor, depressor muscle
n05552607	thorax, chest, pectus
n05553049	chest cavity, thoracic cavity
n05553288	breast, chest
n05553486	bosom
n05553618	thorax
n05553768	rib cage
n05553897	cleavage
n05554051	lactiferous duct
n05554189	mammary gland, mamma
n05554405	breast, bosom, knocker, boob, tit, titty
n05554653	nipple, mammilla, mamilla, pap, teat, tit
n05554804	areola, ring of color
n05555017	areola
n05555167	nabothian gland
n05555294	vestibular gland
n05555473	middle, midriff, midsection
n05555688	waist, waistline
n05555840	wasp waist
n05555917	belly, paunch
n05556071	pot, potbelly, bay window, corporation, tummy
n05556204	spare tire, love handle
n05556325	hip
n05556472	haunch
n05556595	navel, umbilicus, bellybutton, belly button, omphalos, omphalus
n05556943	abdomen, venter, stomach, belly
n05557339	abdominal, abdominal muscle, ab
n05557500	dorsum
n05557723	underbelly, underbody
n05557839	external oblique muscle, musculus obliquus externus abdominis, abdominal external oblique muscle, oblique
n05558078	transversus abdominis muscle, transverse muscle of abdomen, musculus transversalis abdominis, transversus abdominis
n05558345	abdominal cavity, abdomen
n05558555	pubes, pubic region, loins
n05558717	back, dorsum
n05559023	small
n05559122	latissimus dorsi, lat
n05559256	buttocks, nates, arse, butt, backside, bum, buns, can, fundament, hindquarters, hind end, keister, posterior, prat, rear, rear end, rump, stern, seat, tail, tail end, tooshie, tush, bottom, behind, derriere, fanny, ass
n05559727	buttock, cheek
n05559908	extremity, appendage, member
n05560244	limb
n05560631	stump
n05560787	leg
n05561390	crus
n05561507	leg
n05561707	pin, peg, stick
n05561834	bowleg, bow leg, bandyleg, bandy leg, genu varum, tibia vara
n05562015	shank's mare, shanks' mare, shank's pony, shanks' pony
n05562161	spindlelegs, spindleshanks
n05562249	thigh
n05562595	lap
n05562756	shank
n05562902	shin
n05563034	vertebrate foot, pedal extremity
n05563266	foot, human foot, pes
n05563770	arm
n05564229	cubitus
n05564323	forearm
n05564590	hand, manus, mitt, paw
n05565064	fist, clenched fist
n05565192	hooks, meat hooks, maulers
n05565337	right, right hand
n05565548	left, left hand
n05565696	palm, thenar
n05565937	thenar
n05566097	digit, dactyl
n05566366	minimus
n05566504	finger
n05566919	extremity
n05567117	fingertip
n05567217	thumb, pollex
n05567381	index, index finger, forefinger
n05567489	ring finger, annualry
n05567604	middle finger
n05567727	little finger, pinkie, pinky
n05567875	sciatic nerve, nervus ischiadicus
n05568104	femoral nerve, nervus femoralis, anterior crural nerve
n05568349	saphenous nerve, nervus saphenus
n05568550	phrenic nerve, nervus phrenicus
n05568767	ulnar nerve, cubital nerve, nervus ulnaris
n05569053	spinal nerve, nervus spinalis
n05569427	cervical nerve
n05569577	coccygeal nerve, nervus coccygeus
n05569690	lumbar nerve
n05569835	sacral nerve
n05569979	thoracic nerve
n05570129	gluteus, gluteus muscle, gluteal muscle, glute
n05570396	gluteus maximus
n05570500	gluteus medius
n05570600	gluteus minimus
n05570704	hamstring, hamstring tendon
n05570839	sphincter, anatomical sphincter, sphincter muscle
n05571132	cardiac sphincter
n05571341	esophagogastric junction, oesophagogastric junction
n05571501	physiological sphincter
n05571713	anal sphincter, sphincter ani, musculus sphincter ani
n05571904	musculus sphincter ani externus
n05572057	musculus sphincter ani internus
n05572227	urethral sphincter, musculus sphincter urethrae
n05572396	bladder sphincter, musculus sphincter vesicae
n05572629	musculus sphincter ductus choledochi
n05572782	musculus sphincter ductus pancreatici
n05572940	pupillary sphincter, musculus sphincter pupillae
n05573099	pyloric sphincter, pyloric valve, musculus sphincter pylori
n05573306	tensor
n05573474	tensor tympani
n05573602	knee, knee joint, human knee, articulatio genus, genu
n05573895	femur, thighbone, femoris
n05574151	trochanter
n05574332	calf, sura
n05574519	mid-calf
n05574633	gastrocnemius, gastrocnemius muscle
n05574862	psoas
n05575002	rhomboid, rhomboid muscle
n05575185	rhomboideus major muscle, greater rhomboid muscle, musculus rhomboideus major
n05575374	rhomboid minor muscle, lesser rhomboid muscle, musculus rhomboideus minor
n05575582	soleus, soleus muscle
n05575743	splenius, splenius muscle
n05575960	peroneus
n05576074	pterygoid muscle
n05576194	ball
n05576421	flatfoot, splayfoot, pes planus
n05576573	arch
n05576827	metatarsal arch
n05576950	instep
n05577060	sunken arch, fallen arch
n05577190	sole
n05577304	tiptoe
n05577410	toe
n05577654	toe
n05577741	big toe, great toe, hallux
n05577866	hammertoe
n05577969	little toe
n05578095	heel
n05578251	gliding joint, articulatio plana
n05578442	ankle, ankle joint, mortise joint, articulatio talocruralis
n05578740	Achilles tendon, tendon of Achilles
n05578911	girdle
n05579053	musculus biceps femoris, femoral biceps
n05579239	biceps
n05579436	biceps brachii, musculus biceps brachii, biceps humeri
n05579604	triceps
n05579753	triceps brachii, musculus triceps brachii
n05579944	elbow, elbow joint, human elbow, cubitus, cubital joint, articulatio cubiti
n05580286	interphalangeal joint
n05580416	hinge joint, ginglymus, ginglymoid joint
n05580662	funny bone, crazy bone
n05580929	lamina
n05581161	lamina arcus vertebrae
n05581349	plate
n05581514	horny structure, unguis
n05581693	nail
n05581932	cuticle
n05582038	half-moon, lunula, lunule
n05582191	matrix
n05582305	matrix, intercellular substance, ground substance
n05582513	fascia, facia
n05582690	aponeurosis
n05582859	graft, transplant
n05583158	autograft, autoplasty
n05583386	homograft, allograft
n05583624	heterograft, xenograft
n05583822	scar tissue
n05584008	adhesion
n05584152	stroma
n05584265	fingernail
n05584390	thumbnail
n05584486	toenail
n05584605	ingrown toenail, onyxis
n05584746	hangnail, agnail
n05584928	wrist, carpus, wrist joint, radiocarpal joint, articulatio radiocarpea
n05585205	knuckle, knuckle joint, metacarpophalangeal joint
n05585383	skeletal system, skeleton, frame, systema skeletale
n05585665	skeletal structure
n05585999	column
n05586111	pectoral girdle
n05586280	shoulder girdle, pectoral arch
n05586446	endoskeleton
n05586759	exoskeleton
n05587034	appendicular skeleton
n05587288	axial skeleton
n05587531	axial muscle
n05587628	transverse process
n05587814	hemal arch, haemal arch
n05587997	neural arch, vertebral arch
n05588174	spinal column, vertebral column, spine, backbone, back, rachis
n05588551	cervical vertebra, neck bone
n05588746	atlas, atlas vertebra
n05588840	axis, axis vertebra
n05588991	odontoid process
n05589132	thoracic vertebra, dorsal vertebra
n05589378	lumbar vertebra
n05589596	sacral vertebra
n05589756	coccygeal vertebra, caudal vertebra
n05589896	sartorius, sartorius muscle, musculus sartorius
n05590144	scalenus, scalene muscle, musculus scalenus
n05590366	sternocleidomastoid, sternocleidomastoid muscle, sternocleido mastoideus, musculus sternocleidomastoideus
n05590740	teres, teres muscle
n05590939	teres major, teres major muscle, musculus teres major
n05591096	teres minor, teres minor muscle, musculus teres minor
n05591256	tibialis, tibialis muscle, musculus tibialis
n05591503	tibialis anticus, tibialis anterior
n05591661	tibialis posticus, tibialis posterior
n05591770	trapezius, trapezius muscle, cowl muscle, musculus trapezius
n05591999	true rib
n05592126	costa
n05592302	costal cartilage
n05592504	epiphysis
n05592733	diaphysis, shaft
n05592870	metaphysis
n05593017	arm bone
n05593181	humerus
n05593318	radius
n05593476	ulna, elbow bone
n05593654	olecranon, olecranon process
n05593871	metacarpus
n05594037	leg bone
n05594201	fibula, calf bone
n05594367	tibia, shinbone, shin bone, shin
n05594568	metatarsus
n05594822	tarsus
n05595083	joint, articulation, articulatio
n05595531	ball-and-socket joint, spheroid joint, cotyloid joint, enarthrodial joint, enarthrosis, articulatio spheroidea
n05595837	head
n05596004	hip, hip joint, coxa, articulatio coxae
n05596224	acetabulum, cotyloid cavity
n05596442	pelvis, renal pelvis
n05596651	pelvis, pelvic girdle, pelvic arch, hip
n05597050	pelvic cavity
n05597188	pivot joint, rotary joint, rotatory joint, articulatio trochoidea
n05597436	crotch, fork
n05597594	loins
n05597734	groin, inguen
n05597980	quick
n05598147	nose, olfactory organ
n05598707	beak, honker, hooter, nozzle, snoot, snout, schnozzle, schnoz
n05598868	conk
n05598982	hawk nose
n05599084	proboscis
n05599203	bridge
n05599398	pug nose
n05599501	Roman nose, hooknose
n05599617	chin, mentum
n05599769	double chin, buccula
n05599874	dimple
n05600030	lantern jaw
n05600109	nostril, anterior naris
n05600270	posterior naris
n05600431	naris
n05600637	face, human face
n05601198	face
n05601357	countenance, physiognomy, phiz, visage, kisser, smiler, mug
n05601662	pudding face, pudding-face
n05601758	feature, lineament
n05602132	facial muscle
n05602304	temporalis muscle, temporal muscle, temporalis, musculus temporalis
n05602548	brow, forehead
n05602683	temple
n05602835	cheek
n05602982	jowl
n05603160	jaw
n05603342	ridge
n05603475	supraorbital ridge, supraorbital torus, superciliary ridge, superciliary arch
n05603650	excrescence
n05603854	vegetation
n05604022	rudiment
n05604254	wall, paries
n05604434	abdominal wall
n05604535	humor, humour
n05604854	pericardial sac
n05604950	rotator cuff
n05605192	respiratory center
n05605498	spindle
n05605762	syncytium
n05605944	serous membrane, serosa
n05606247	synovial membrane, synovium
n05606429	tunica albuginea testes
n05606528	albuginea
n05606633	tunic, tunica, adventitia
n05606801	celom, coelom, celoma
n05607001	cornu
n05607126	corona
n05607271	ruga
n05607402	tentorium
n05607602	mast cell, mastocyte, labrocyte
n05607863	stem cell
n05608044	hematopoeitic stem cell
n05608206	target cell
n05608419	McBurney's point
n05608615	zona pellucida
n05608868	receptor
n05609111	alpha receptor, alpha-adrenergic receptor, alpha-adrenoceptor
n05609524	beta receptor, beta-adrenergic receptor, beta-adrenoceptor
n05609884	pharyngeal recess
n05610008	rima
n05610198	rima glottidis, rima vocalis, true glottis, glottis vera
n05610365	rima vestibuli, rima respiratoria, false glottis, glottis spuria
n05610520	telomere
n05610734	vomer
n05610919	Wormian bone, sutural bone
n05611062	zone, zona
n05611221	zonule, zonula
n05611302	mind, head, brain, psyche, nous
n05611684	noddle
n05611822	place
n05612067	public knowledge, general knowledge
n05612241	common knowledge
n05612358	episteme
n05612531	ancient history
n05612706	light
n05612809	open, surface
n05613043	tabula rasa
n05613170	ego
n05613274	unconscious mind, unconscious
n05613478	subconscious mind, subconscious
n05613625	superego
n05613794	id
n05613962	astuteness, profundity, profoundness, depth, deepness
n05614175	sagacity, sagaciousness, judgment, judgement, discernment
n05614476	eye
n05614657	common sense, good sense, gumption, horse sense, sense, mother wit
n05615028	logic
n05615147	nous
n05615258	road sense
n05615373	judiciousness
n05615500	discretion, discreetness, circumspection, prudence
n05615749	confidentiality
n05615869	caution, precaution, care, forethought
n05616092	injudiciousness, indiscreetness
n05616246	ability, power
n05616786	know-how
n05616955	bag of tricks
n05617107	wisdom, sapience
n05617310	leadership
n05617467	generalship
n05617606	intelligence
n05618056	brain, brainpower, learning ability, mental capacity, mentality, wit
n05618293	breadth, comprehensiveness, largeness
n05618607	capaciousness, roominess
n05618849	mind, intellect
n05619059	nonverbal intelligence
n05619226	verbal intelligence
n05619345	mental quickness, quickness, quick-wittedness
n05619553	nimbleness, mental dexterity
n05619743	brilliance, genius
n05619903	coruscation
n05620050	pyrotechnics
n05620190	scintillation
n05620294	precociousness, precocity
n05620468	acuteness, acuity, sharpness, keenness
n05620754	steel trap
n05620955	brightness, cleverness, smartness
n05621178	craft, craftiness, cunning, foxiness, guile, slyness, wiliness
n05621439	shrewdness, astuteness, perspicacity, perspicaciousness
n05621808	insightfulness, acumen
n05621946	knowingness
n05622076	street smarts
n05622196	wits, marbles
n05622456	aptitude
n05622617	bilingualism
n05622723	instinct, inherent aptitude
n05622956	capacity, mental ability
n05623181	capability, capableness, potentiality
n05623444	perfectibility
n05623628	compass, range, reach, grasp
n05623818	sight, ken
n05623937	natural ability
n05624042	endowment, gift, talent, natural endowment
n05624254	bent, knack, hang
n05624461	flair, genius
n05624615	raw talent
n05624700	creativity, creativeness, creative thinking
n05625066	fecundity, fruitfulness
n05625210	flight
n05625373	genius, wizardry
n05625465	imagination, imaginativeness, vision
n05625879	imaginary place, mythical place, fictitious place
n05626524	afterworld
n05626618	Annwfn, Annwn
n05626767	Asgard
n05626929	Atlantis
n05627083	Brobdingnag
n05627222	cloud-cuckoo-land
n05627385	Cockaigne
n05627514	El Dorado, eldorado
n05627682	fairyland, faerie, faery
n05627785	Heaven
